name,Complete,KNN_10_10,KNN_25_10,KNN_50_10,KNN_75_10,KNN_100_10,FI,ORTOOLS
0000_uf5bb8d-300-30,1.846480976,1.844851363,1.790299674,1.784023771,1.973500701,1.816204527,1.960466275,2.67106
0001_ubbb585-300-30,1.76209782,1.66403861,1.723517906,1.644238917,1.673185709,1.70457762,1.866572321,1.64623
0002_u3ab36f-300-30,1.660640608,1.652691111,1.620876397,1.616219298,1.591832845,1.689454204,1.92652741,4.07311
0003_u03ddd7-300-30,2.017478767,1.945616588,1.958015616,1.950447272,1.94358329,1.958995101,2.202534564,2.50809
0004_ue08722-300-30,2.409381201,2.324983257,2.359064427,2.411927418,2.430997398,2.38615843,2.572895187,2.3667
0005_u06f7e5-300-30,1.735695328,1.710225838,1.735938816,1.674568008,1.797794343,1.710664289,2.056849417,2.87091
0006_ub93892-300-30,1.98921811,1.868203521,1.922104844,1.911036919,1.935278553,1.888335465,2.206847943,2.68191
0007_u755a6b-300-30,2.342253303,2.363868273,2.312950189,2.285975479,2.312950189,2.276378124,2.443609218,2.46402
0008_u76e86b-300-30,1.628219046,1.627811042,1.649138062,1.591398763,1.591398763,1.595009601,1.765525654,2.81948
0009_uf3a241-300-30,2.031608171,1.999841802,1.998650183,1.991788591,2.047807486,2.023492993,2.443603084,2.21023
0010_ucf3101-300-30,2.107822861,2.08927252,2.132996776,2.104417447,2.174135196,2.191273017,2.253434897,3.70297
0011_u42fbd7-300-30,2.406244173,2.422923542,2.400994181,2.438484161,2.46537963,2.413333986,2.729814013,3.45185
0012_u9d5c69-300-30,2.550548689,2.479646421,2.557839012,2.548028711,2.563556611,2.498231907,2.701039372,2.67503
0013_ue67009-300-30,2.293237338,2.288952793,2.297577128,2.289638399,2.284204191,2.280712346,2.614682437,2.28052
0014_ub600d6-300-30,1.664970098,1.584684602,1.604554425,1.63480616,1.602201264,1.598473171,1.691634916,2.80311
0015_u4c2907-300-30,1.750591055,1.652855318,1.691860226,1.665550627,1.592344258,1.628985431,1.841936999,2.90244
0016_u6adb8b-300-30,1.659945573,1.652207916,1.6341327,1.640006732,1.640006732,1.731460093,1.75981081,3.07459
0017_u1089e1-300-30,2.291063468,2.210973828,2.199416434,2.206302909,2.246985471,2.187820649,2.399576737,3.25529
0018_u3856a1-300-30,2.162221663,2.200228946,2.121244317,2.133275517,2.134019458,2.16332554,2.54267469,2.31264
0019_uf1df6d-300-30,1.825034082,1.68935002,1.740668895,1.751370479,1.720265515,1.681473113,1.996460289,4.71642
0020_u269314-300-30,2.276530891,2.363868334,2.303773632,2.253919909,2.298261771,2.262003061,2.497575888,3.24684
0021_ue58c71-300-30,2.080582272,1.970980484,2.044847471,1.968158251,1.969677528,2.147477324,2.138286461,2.80231
0022_uce0cde-300-30,2.05581855,2.061470002,2.004302638,2.055993496,2.040605821,2.018954079,2.163086721,2.78124
0023_ud2f4a7-300-30,1.835243721,1.834688798,1.880347205,1.905598556,1.867603637,1.889613812,2.003515974,2.64931
0024_u6781df-300-30,1.590221731,1.604528371,1.558476799,1.515563137,1.471518822,1.541031803,1.824972583,2.73444
